,Batch size,Search space size,Migrating clones F1,Migration graph F1
921,1024,24414.0625,0.8571428571428572,0.8
922,1024,24414.0625,0.8571428571428572,0.7692307692307694
923,1024,24414.0625,1.0,0.9090909090909091
924,1024,24414.0625,0.75,0.5
925,1024,195.3125,1.0,0.6000000000000001
926,1024,195.3125,1.0,0.6000000000000001
927,1024,195.3125,1.0,0.6000000000000001
928,1024,195.3125,1.0,0.6000000000000001
929,1024,195.3125,1.0,0.6000000000000001
930,1024,76293945.3125,1.0,0.9230769230769229
931,1024,76293945.3125,0.5714285714285714,0.8333333333333334
932,1024,76293945.3125,0.6666666666666666,0.875
933,1024,76293945.3125,0.5,0.4
934,1024,76293945.3125,1.0,0.9230769230769229
935,1024,76293945.3125,0.5714285714285714,0.8333333333333334
936,1024,76293945.3125,0.6666666666666666,0.875
937,1024,76293945.3125,0.6666666666666666,0.2
938,1024,76293945.3125,1.0,0.9230769230769229
939,1024,76293945.3125,0.5714285714285714,0.8333333333333334
940,1024,76293945.3125,0.8571428571428572,0.875
941,1024,76293945.3125,0.6666666666666666,0.2
942,1024,76293945.3125,1.0,0.9230769230769229
943,1024,76293945.3125,0.5714285714285714,0.8333333333333334
944,1024,76293945.3125,0.75,0.875
945,1024,76293945.3125,0.6666666666666666,0.2
946,1024,76293945.3125,1.0,0.9230769230769229
947,1024,76293945.3125,0.5714285714285714,0.8333333333333334
948,1024,76293945.3125,0.75,0.875
949,1024,76293945.3125,0.6666666666666666,0.2
950,1024,15258789.0625,1.0,0.6153846153846154
951,1024,15258789.0625,1.0,0.6153846153846154
952,1024,15258789.0625,1.0,0.6153846153846154
953,1024,15258789.0625,1.0,0.6153846153846154
954,1024,15258789.0625,1.0,0.6153846153846154
955,1024,1692665944.4736,1.0,0.9230769230769229
956,1024,1692665944.4736,1.0,0.7142857142857143
957,1024,1692665944.4736,1.0,0.9230769230769229
958,1024,1692665944.4736,1.0,0.8571428571428571
959,1024,1692665944.4736,1.0,0.9230769230769229
960,1024,1692665944.4736,1.0,1.0
961,1024,1692665944.4736,1.0,0.9230769230769229
962,1024,1692665944.4736,1.0,0.7142857142857143
963,1024,1692665944.4736,1.0,0.9230769230769229
964,1024,1692665944.4736,1.0,0.7142857142857143
965,1024,610351.5625,0.8571428571428572,0.5454545454545454
966,1024,610351.5625,0.8571428571428572,0.5454545454545454
967,1024,610351.5625,0.8571428571428572,0.5454545454545454
968,1024,610351.5625,0.8571428571428572,0.5454545454545454
969,1024,610351.5625,0.8571428571428572,0.5454545454545454
